epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,5908.52,0.90821,1.95993,1.36686,0.95707,0.9494,0.97806,0.76705,0.84126,1.27038,1.29172,0.002674,0.002674,0.002674
76,5987.38,0.89864,1.92115,1.36362,0.96002,0.95059,0.97886,0.76955,0.83939,1.26561,1.29238,0.002575,0.002575,0.002575
77,6068,0.89606,1.90849,1.35534,0.96197,0.948,0.97908,0.7703,0.84219,1.26495,1.29172,0.002476,0.002476,0.002476
78,6146.96,0.89928,1.91873,1.36535,0.95156,0.95645,0.97933,0.77163,0.83819,1.26358,1.28799,0.002377,0.002377,0.002377
79,6225.94,0.8882,1.91289,1.35423,0.96847,0.93433,0.97816,0.77166,0.83345,1.26142,1.28541,0.002278,0.002278,0.002278
80,6304.95,0.88811,1.88685,1.35446,0.96802,0.93474,0.97765,0.77215,0.83335,1.26355,1.2851,0.002179,0.002179,0.002179
81,6384,0.88642,1.8788,1.3561,0.95584,0.94652,0.97734,0.77126,0.83339,1.26874,1.28474,0.00208,0.00208,0.00208
82,6463.31,0.88272,1.89284,1.35015,0.94956,0.94887,0.97776,0.76928,0.83415,1.26492,1.28752,0.001981,0.001981,0.001981
83,6541.76,0.88022,1.86295,1.34553,0.95002,0.95344,0.97833,0.76992,0.83416,1.26099,1.29194,0.001882,0.001882,0.001882
84,6619.97,0.88027,1.87931,1.34823,0.95237,0.95254,0.97693,0.77008,0.83307,1.25972,1.29319,0.001783,0.001783,0.001783
85,6698.66,0.8729,1.8482,1.34452,0.95082,0.95323,0.97802,0.77107,0.83318,1.25453,1.29594,0.001684,0.001684,0.001684
86,6777.24,0.87399,1.8252,1.33763,0.95145,0.95656,0.9792,0.76883,0.83054,1.24508,1.29446,0.001585,0.001585,0.001585
87,6856.47,0.86863,1.82556,1.34141,0.95354,0.95511,0.97791,0.76876,0.82955,1.24126,1.2915,0.001486,0.001486,0.001486
88,6934.94,0.86788,1.84391,1.33898,0.9542,0.9532,0.97645,0.77198,0.82601,1.24076,1.28816,0.001387,0.001387,0.001387
89,7013.13,0.85691,1.7987,1.33274,0.95284,0.95638,0.97822,0.77325,0.82342,1.23702,1.28585,0.001288,0.001288,0.001288
90,7091.98,0.85934,1.80312,1.33038,0.95053,0.95606,0.97744,0.77497,0.82417,1.23659,1.28845,0.001189,0.001189,0.001189
91,7169.94,0.69077,1.07128,1.27714,0.95344,0.95111,0.97877,0.77614,0.81941,1.23186,1.28445,0.00109,0.00109,0.00109
92,7248.02,0.67394,1.01713,1.26689,0.95335,0.95355,0.97952,0.77661,0.81774,1.2293,1.28323,0.000991,0.000991,0.000991
93,7324.85,0.66813,1.00911,1.26135,0.95453,0.95223,0.97941,0.77771,0.81482,1.2223,1.28198,0.000892,0.000892,0.000892
94,7401.68,0.66446,1.00434,1.25713,0.96226,0.94489,0.97939,0.77852,0.81248,1.21865,1.28054,0.000793,0.000793,0.000793
95,7478.66,0.65619,0.98882,1.25104,0.96357,0.94417,0.9788,0.7781,0.80854,1.22122,1.27776,0.000694,0.000694,0.000694
96,7554.74,0.65472,0.96649,1.24488,0.96364,0.94355,0.97735,0.77795,0.8062,1.21827,1.27591,0.000595,0.000595,0.000595
97,7632.06,0.65168,0.95728,1.24276,0.95118,0.95529,0.9795,0.77875,0.80355,1.21406,1.2739,0.000496,0.000496,0.000496
98,7708.74,0.65057,0.95379,1.24139,0.95134,0.95559,0.97761,0.77916,0.80178,1.21114,1.27242,0.000397,0.000397,0.000397
99,7785.37,0.64147,0.95382,1.23803,0.95144,0.95613,0.97753,0.77947,0.79887,1.21045,1.27054,0.000298,0.000298,0.000298
100,7862.48,0.64101,0.94516,1.23607,0.95155,0.95607,0.97754,0.78002,0.79719,1.2088,1.26933,0.000199,0.000199,0.000199
